2025-09-01 20:42:59.758 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.787 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.816 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.845 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.874 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.903 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.932 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.961 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:42:59.989 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.019 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.047 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.076 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.105 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.134 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.163 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.192 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.221 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.250 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.279 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.308 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.337 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.366 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.395 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.423 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.452 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.482 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.511 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
